;Condit;Task;stim_file;coffee1.thisRepN;coffee1.thisTrialN;coffee1.thisN;coffee1.thisIndex;coffee2.thisRepN;coffee2.thisTrialN;coffee2.thisN;coffee2.thisIndex;key_resp_instructions.keys;key_resp_instructions.rt;key_resp_instructions.started;key_resp_instructions.stopped;image_instructions.started;image_instructions.stopped;polygon.started;polygon.stopped;key_resp.keys;key_resp.started;key_resp.stopped;image.started;image.stopped;key_resp.rt;participant;session;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;space;27.543387861995143;10.632558558994788;None;;;;;;;;;;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;no-go;coffee1.png;0;0;0;21;;;;;;;;;10.632558558994788;None;39.06074228500074;39.57566719100578;None;39.80695279799693;None;39.80695279799693;40.31815927599382;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;no-go;coffee1.png;0;1;1;24;;;;;;;;;;;41.506227480000234;42.01061712199589;None;42.25827460599248;None;42.25827460599248;42.76913300099841;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;go;water.png;0;2;2;14;;;;;;;;;;;43.541111283004284;44.04650825000135;space;44.2908103630034;None;44.2908103630034;None;0.43701218299975153;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;no-go;coffee1.png;0;3;3;28;;;;;;;;;;;45.574771529994905;46.07875828900433;None;46.32607571900007;None;46.32607571900007;46.827049942992744;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;no-go;coffee1.png;0;4;4;16;;;;;;;;;;;48.62625798600493;49.1302773530042;None;49.37757232200238;48.399285980005516;49.37757232200238;49.876673851991654;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;no-go;coffee1.png;0;5;5;29;;;;;;;;;;;51.511091770997155;52.01508642800036;None;52.262961486005224;None;52.262961486005224;52.77183330099797;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;go;water.png;0;6;6;5;;;;;;;;;;;53.49520824699721;53.99987868199241;space;54.24513548699906;None;54.24513548699906;None;0.3866594920109492;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;go;water.png;0;7;7;0;;;;;;;;;;;54.91708516700601;55.41816047699831;space;55.6630824009917;None;55.6630824009917;None;0.39264901100250427;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;go;water.png;0;8;8;8;;;;;;;;;;;56.3471246429981;56.8557327860035;space;57.096968433004804;None;57.096968433004804;None;0.3348852990020532;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;go;water.png;0;9;9;13;;;;;;;;;;;57.71843162400182;58.22143343799689;space;58.46731956099393;None;58.46731956099393;None;0.3004971179907443;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;no-go;coffee1.png;0;10;10;23;;;;;;;;;;;59.59807045999332;60.10250065899163;None;60.34995730800438;None;60.34995730800438;60.85914334800327;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;no-go;coffee1.png;0;11;11;25;;;;;;;;;;;62.64950405800482;63.1535538790049;None;63.401388718993985;62.41389999400417;63.401388718993985;63.91154610599915;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;go;water.png;0;12;12;3;;;;;;;;;;;65.22178085199266;65.72380012899521;space;65.96751054600463;64.98740295300377;65.96751054600463;None;0.37631800200324506;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;go;water.png;0;13;13;7;;;;;;;;;;;66.6347362910019;67.1415844889998;space;67.39125949400477;None;67.39125949400477;None;0.40860354200412985;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;go;water.png;0;14;14;4;;;;;;;;;;;68.08871421299409;68.59390824500588;space;68.83659440399788;None;68.83659440399788;None;0.33911183799500577;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;go;water.png;0;15;15;6;;;;;;;;;;;69.4696623130003;69.97799616899283;space;70.21939855499659;None;70.21939855499659;None;0.3086177170043811;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;no-go;coffee1.png;0;16;16;17;;;;;;;;;;;71.39128379999602;71.89117376500508;None;72.1405493469938;None;72.1405493469938;72.6452799809922;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;no-go;coffee1.png;0;17;17;20;;;;;;;;;;;74.43847585699405;74.94239683399792;space;75.19071537400305;74.22026315200492;75.19071537400305;None;0.2730864649929572;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;go;water.png;0;18;18;11;;;;;;;;;;;75.77366665800218;76.27866805699887;space;76.52305430099659;None;76.52305430099659;None;0.34076408999681007;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;go;water.png;0;19;19;1;;;;;;;;;;;77.15647914100555;77.66191439800605;space;77.90660162900167;None;77.90660162900167;None;0.34926822400302626;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;no-go;coffee1.png;0;20;20;22;;;;;;;;;;;79.12415222299751;79.62804686299933;None;79.87573316799535;None;79.87573316799535;80.38522322999779;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;go;water.png;0;21;21;9;;;;;;;;;;;81.67560286600201;82.17977956899267;space;82.42756521400588;81.44546596999862;82.42756521400588;None;0.37222193500201683;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;no-go;coffee1.png;0;22;22;18;;;;;;;;;;;83.69289728699368;84.19716026399692;None;84.44463003799319;None;84.44463003799319;84.95565158200043;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;go;water.png;0;23;23;2;;;;;;;;;;;86.24404351199337;86.75055813799554;space;87.00182152999332;86.01350185299816;87.00182152999332;None;0.32597984599124175;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
;coffee_a;no-go;coffee1.png;0;24;24;19;;;;;;;;;;;88.2494618359924;88.74906047100376;None;88.99630342300225;None;88.99630342300225;89.506153705006;;P5;1;2021_Dec_01_1501;Psychophysics_project;2021.2.3;60.349456547354706;
