;Condit;Task;stim_file;coffee1.thisRepN;coffee1.thisTrialN;coffee1.thisN;coffee1.thisIndex;coffee2.thisRepN;coffee2.thisTrialN;coffee2.thisN;coffee2.thisIndex;key_resp_instructions.keys;key_resp_instructions.rt;key_resp_instructions.started;key_resp_instructions.stopped;image_instructions.started;image_instructions.stopped;polygon.started;polygon.stopped;key_resp.keys;key_resp.started;key_resp.stopped;image.started;image.stopped;key_resp.rt;participant;session;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;space;35.8284123600024;32.404697902005864;None;;;;;;;;;;;P7;1;2021_Dec_01_1516;Psychophysics_project;2021.2.3;59.503468547451526;
;coffee_a;no-go;coffee1.png;0;0;0;19;;;;;;;;;32.404697902005864;None;69.10065079201013;69.6023182120116;None;69.84976619700319;None;69.84976619700319;70.36203331200522;;P7;1;2021_Dec_01_1516;Psychophysics_project;2021.2.3;59.503468547451526;
;coffee_a;go;water.png;0;1;1;3;;;;;;;;;;;71.08242764600436;71.58686978000333;space;71.83244348900917;None;71.83244348900917;None;0.42427976900944486;P7;1;2021_Dec_01_1516;Psychophysics_project;2021.2.3;59.503468547451526;
;coffee_a;go;water.png;0;2;2;12;;;;;;;;;;;72.54996113500965;73.05523367501155;space;73.29987342501408;None;73.29987342501408;73.80615544800821;0.49296760199649725;P7;1;2021_Dec_01_1516;Psychophysics_project;2021.2.3;59.503468547451526;
;coffee_a;go;water.png;0;3;3;7;;;;;;;;;;;74.08423238700198;74.58871906201239;space;74.83365556200442;None;74.83365556200442;None;0.3911970509943785;P7;1;2021_Dec_01_1516;Psychophysics_project;2021.2.3;59.503468547451526;
;coffee_a;go;water.png;0;4;4;1;;;;;;;;;;;75.51924170200073;76.02305894601159;space;76.26800068700686;None;76.26800068700686;None;0.3807043260021601;P7;1;2021_Dec_01_1516;Psychophysics_project;2021.2.3;59.503468547451526;
;coffee_a;no-go;coffee1.png;0;5;5;29;;;;;;;;;;;77.4859760790132;77.98921684200468;None;78.23697461100528;None;78.23697461100528;78.74069792000228;;P7;1;2021_Dec_01_1516;Psychophysics_project;2021.2.3;59.503468547451526;
;coffee_a;go;water.png;0;6;6;9;;;;;;;;;;;80.03674459600006;80.54168823501095;space;80.78658406500472;79.7942934520106;80.78658406500472;None;0.4747746049979469;P7;1;2021_Dec_01_1516;Psychophysics_project;2021.2.3;59.503468547451526;
;coffee_a;go;water.png;0;7;7;8;;;;;;;;;;;81.55424020701321;82.0582050330122;space;82.30411404900951;None;82.30411404900951;81.31539495800098;0.45327983000606764;P7;1;2021_Dec_01_1516;Psychophysics_project;2021.2.3;59.503468547451526;
;coffee_a;no-go;coffee1.png;0;8;8;28;;;;;;;;;;;83.58894979901379;84.09255180200853;None;84.33969335700385;None;84.33969335700385;84.83981978900556;;P7;1;2021_Dec_01_1516;Psychophysics_project;2021.2.3;59.503468547451526;
