;Condit;Task;stim_file;coffee1.thisRepN;coffee1.thisTrialN;coffee1.thisN;coffee1.thisIndex;coffee2.thisRepN;coffee2.thisTrialN;coffee2.thisN;coffee2.thisIndex;key_resp_instructions.keys;key_resp_instructions.rt;key_resp_instructions.started;key_resp_instructions.stopped;image_instructions.started;image_instructions.stopped;polygon.started;polygon.stopped;key_resp.keys;key_resp.started;key_resp.stopped;image.started;image.stopped;key_resp.rt;participant;session;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;space;36.861023937002756;25.379542614988168;None;;;;;;;;;;;P6;1;2021_Dec_01_1508;Psychophysics_project;2021.2.3;59.86861497005279;
;coffee_a;no-go;coffee1.png;0;0;0;20;;;;;;;;;25.379542614988168;None;63.10803634898912;63.60800178699719;None;63.855855696994695;None;63.855855696994695;64.36658849699597;;P6;1;2021_Dec_01_1508;Psychophysics_project;2021.2.3;59.86861497005279;
;coffee_a;go;water.png;0;1;1;8;;;;;;;;;;;65.07059436799318;65.58043960799114;space;65.82151558999612;None;65.82151558999612;None;0.3949520080059301;P6;1;2021_Dec_01_1508;Psychophysics_project;2021.2.3;59.86861497005279;
;coffee_a;no-go;coffee1.png;0;2;2;18;;;;;;;;;;;67.07242347698775;67.5764939209912;None;67.82386927699554;None;67.82386927699554;68.33958259799692;;P6;1;2021_Dec_01_1508;Psychophysics_project;2021.2.3;59.86861497005279;
;coffee_a;go;water.png;0;3;3;9;;;;;;;;;;;69.60707384299894;70.1114464919956;space;70.36457875499036;69.37522713300132;70.36457875499036;None;0.363989773002686;P6;1;2021_Dec_01_1508;Psychophysics_project;2021.2.3;59.86861497005279;
;coffee_a;go;water.png;0;4;4;11;;;;;;;;;;;71.00832244499179;71.51570811698912;space;71.76222103499458;None;71.76222103499458;None;0.3743110349896597;P6;1;2021_Dec_01_1508;Psychophysics_project;2021.2.3;59.86861497005279;
;coffee_a;go;water.png;0;5;5;13;;;;;;;;;;;72.42967844298983;72.93479602699517;space;73.17761414399138;None;73.17761414399138;None;0.3508892600075342;P6;1;2021_Dec_01_1508;Psychophysics_project;2021.2.3;59.86861497005279;
;coffee_a;go;water.png;0;6;6;12;;;;;;;;;;;73.8143941929884;74.31552541599376;space;74.56057787100144;None;74.56057787100144;None;0.33595664499443956;P6;1;2021_Dec_01_1508;Psychophysics_project;2021.2.3;59.86861497005279;
;coffee_a;no-go;coffee1.png;0;7;7;17;;;;;;;;;;;75.72770612000022;76.23066527499759;None;76.49474889499834;None;76.49474889499834;76.99570712499553;;P6;1;2021_Dec_01_1508;Psychophysics_project;2021.2.3;59.86861497005279;
;coffee_a;go;water.png;0;8;8;1;;;;;;;;;;;78.29867069999455;78.80220500699943;space;79.04458136598987;78.06128474799334;79.04458136598987;None;0.36398164500133134;P6;1;2021_Dec_01_1508;Psychophysics_project;2021.2.3;59.86861497005279;
